i, j, E, error
9, 50, -11.9062, 1.22792e-09
9, 51, -11.9062, 1.22792e-09
9, 52, -11.9062, 1.22792e-09
9, 53, -11.9062, 1.22792e-09
9, 54, -11.9062, 1.22792e-09
9, 55, -11.9062, 1.22792e-09
9, 56, -11.9062, 1.22792e-09
9, 57, -11.9062, 1.22792e-09
9, 58, -11.9062, 1.22792e-09
9, 59, -11.9062, 1.22792e-09
9, 60, -11.9062, 1.22792e-09
9, 61, -11.9062, 1.22792e-09
9, 62, -11.9062, 1.22792e-09
9, 63, -11.9062, 1.22792e-09
10, 0, -12.1534, 1.25039e-09
10, 1, -12.1534, 1.25039e-09
10, 2, -12.1534, 1.25039e-09
10, 3, -12.1534, 1.25039e-09
10, 4, -12.1534, 1.25039e-09
10, 5, -12.1534, 1.25039e-09
10, 6, -12.1534, 1.25039e-09
10, 7, -12.1534, 1.25039e-09
10, 8, -12.1534, 1.25039e-09
10, 9, -12.1534, 1.25039e-09
10, 10, -12.1534, 1.25039e-09
10, 11, -12.1534, 1.25039e-09
10, 12, -12.1534, 1.25039e-09
10, 13, -12.1534, 1.25039e-09
10, 14, -12.1534, 1.25039e-09
10, 15, -12.1534, 1.25039e-09
10, 16, -12.1534, 1.25039e-09
10, 17, -12.1534, 1.25039e-09
10, 18, -12.1534, 1.25039e-09
10, 19, -12.1534, 1.25039e-09
10, 20, -12.1534, 1.25039e-09
10, 21, -12.1534, 1.25039e-09
10, 22, -12.1534, 1.25039e-09
10, 23, -12.1534, 1.25039e-09
10, 24, -12.1534, 1.25039e-09
10, 25, -12.1534, 1.25039e-09
10, 26, -12.1534, 1.25039e-09
10, 27, -12.1534, 1.25039e-09
10, 28, -12.1534, 1.25039e-09
10, 29, -12.1534, 1.25039e-09
10, 30, -12.1534, 1.25039e-09
10, 31, -12.1534, 1.25039e-09
10, 32, -12.1534, 1.25039e-09
10, 33, -12.1534, 1.25039e-09
10, 34, -12.1534, 1.25039e-09
10, 35, -12.1534, 1.25039e-09
10, 36, -12.1534, 1.25039e-09
10, 37, -12.1534, 1.25039e-09
10, 38, -12.1534, 1.25039e-09
10, 39, -12.1534, 1.25039e-09
10, 40, -12.1534, 1.25039e-09
10, 41, -12.1534, 1.25039e-09
10, 42, -12.1534, 1.25039e-09
10, 43, -12.1534, 1.25039e-09
10, 44, -12.1534, 1.25039e-09
10, 45, -12.1534, 1.25039e-09
10, 46, -12.1534, 1.25039e-09
10, 47, -12.1534, 1.25039e-09
10, 48, -12.1534, 1.25039e-09
10, 49, -12.1534, 1.25039e-09
10, 50, -12.1534, 1.25039e-09
10, 51, -12.1534, 1.25039e-09
10, 52, -12.1534, 1.25039e-09
10, 53, -12.1534, 1.25039e-09
10, 54, -12.1534, 1.25039e-09
10, 55, -12.1534, 1.25039e-09
10, 56, -12.1534, 1.25039e-09
